0,112,20,19,25,26,27,12,22,9,33,112,112,17,20,30,4,32,17,24,5,18,111,18,29,22,112,110,110,112,25,17,45,28,26,18,13,112,44,10,32,8,42,4,20,37,35,24,45,8,31,114,18,31,32,19,18,34,23,23,30,12,16,16,27,23,14,12,56,30,29,25,28,30,25,3,19,26,27,11,34,113,17,29,5,13,4,11,11,28,24,12,2,22,16,6,6,10,18,14,26,36,24,41,27,39,30,3,33,112,43,26,25,14,
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
10,110,0,11,47,48,7,7,16,11,14,110,111,5,12,49,5,23,10,6,9,12,110,6,28,7,112,111,109,111,8,9,52,66,11,10,6,110,13,4,63,2,46,5,13,9,21,18,25,3,11,111,11,9,10,7,11,15,7,40,12,4,4,9,9,16,5,7,13,25,10,52,51,9,17,6,12,50,16,6,27,112,5,8,15,5,7,3,5,23,14,5,12,21,9,6,10,4,11,7,19,17,20,43,25,39,8,6,11,109,48,19,17,5,
22,113,28,0,15,16,10,11,14,23,34,113,113,9,2,20,9,18,3,8,21,4,110,11,19,5,111,112,110,114,26,3,30,18,15,2,5,112,41,8,22,21,27,16,13,38,20,17,25,12,17,115,10,37,41,13,8,36,23,12,35,23,8,7,33,2,31,12,35,19,16,15,19,17,15,18,11,16,16,10,20,111,10,12,31,27,19,19,6,4,14,4,24,3,18,11,22,7,6,7,4,18,13,26,4,26,33,17,42,114,28,16,3,25,
49,111,88,21,0,2,51,24,4,35,28,111,110,39,19,5,21,14,14,45,33,25,109,21,11,39,112,111,112,112,24,23,9,2,13,27,20,111,27,20,7,66,6,28,5,23,14,5,15,26,12,112,7,22,24,40,8,32,19,3,29,41,23,13,25,31,57,25,18,13,14,2,3,15,9,44,3,4,11,23,17,111,22,53,77,48,46,25,18,12,9,19,52,26,33,24,34,21,10,10,27,21,9,5,24,6,18,29,24,111,6,8,13,44,
49,111,91,18,2,0,52,24,3,35,28,110,109,39,17,5,20,14,13,42,33,25,108,21,11,39,112,111,110,112,24,23,9,3,13,27,20,108,27,19,7,69,5,28,5,23,14,5,15,26,12,112,7,22,24,40,8,32,19,4,29,42,23,12,25,30,58,26,19,13,14,3,2,15,9,44,2,4,11,22,17,113,22,55,74,51,46,25,15,11,9,16,51,23,34,25,34,19,9,11,26,21,9,4,20,6,18,29,24,113,6,8,13,46,
28,111,15,9,36,37,0,20,12,26,11,109,110,7,6,37,11,20,7,2,23,12,110,2,24,3,112,112,109,112,7,10,31,54,10,13,4,111,12,10,51,10,27,16,10,8,18,14,21,18,10,110,8,8,9,9,8,14,6,27,9,10,6,5,8,11,14,21,12,21,9,39,40,8,16,23,9,38,15,17,24,112,5,2,63,13,25,8,8,12,13,8,31,8,27,17,24,10,8,6,13,14,12,24,12,26,7,17,10,108,28,18,10,11,
9,111,16,20,28,29,27,0,26,3,33,111,111,17,21,34,6,32,20,24,3,19,110,20,32,22,112,109,109,111,26,17,47,32,29,18,14,111,45,10,36,12,43,5,24,38,35,27,45,9,32,113,21,31,32,19,20,34,25,25,30,15,16,18,27,26,17,6,56,33,30,28,31,31,28,7,23,30,30,5,34,113,17,29,9,16,8,14,13,32,27,13,10,25,7,7,2,11,20,15,27,36,26,43,30,40,30,4,33,111,45,29,26,17,
37,113,48,10,4,5,16,13,0,26,38,113,111,34,9,9,9,16,5,14,24,15,111,33,22,12,112,112,113,114,30,13,5,5,13,17,10,111,36,8,11,28,3,19,5,29,22,2,26,16,18,114,3,27,29,47,7,43,24,8,36,47,19,4,31,21,72,14,28,23,14,6,7,15,16,32,4,8,17,11,18,113,25,22,53,60,34,30,7,6,11,7,39,14,21,13,25,9,3,4,16,19,8,2,14,14,22,20,31,114,3,17,7,52,
8,112,16,20,28,29,28,5,25,0,34,112,112,17,21,33,5,32,19,25,2,19,111,19,31,23,112,109,110,112,26,16,47,31,28,18,13,112,46,9,35,11,43,4,23,39,35,26,45,8,31,114,20,32,33,19,19,35,25,25,30,14,16,17,27,25,16,3,57,32,29,28,31,31,27,6,22,29,29,2,35,113,17,30,8,15,7,13,12,31,26,12,9,24,4,6,3,10,19,14,28,36,26,42,29,40,30,3,34,112,45,28,26,17,
36,111,23,22,30,30,7,34,38,32,0,111,110,10,18,25,23,17,19,8,30,28,110,5,21,9,113,114,110,114,2,26,60,40,14,33,16,109,13,22,38,16,56,23,40,9,16,42,18,21,14,111,31,5,4,11,20,2,3,18,5,11,7,17,3,46,16,30,12,19,12,27,31,11,17,31,34,26,17,28,19,113,6,9,83,14,33,8,24,30,16,22,40,20,38,25,31,26,22,21,49,13,30,53,37,20,8,24,5,111,57,18,34,12,
2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
38,114,49,11,5,6,17,14,2,27,39,114,0,35,10,10,10,17,6,15,25,16,112,34,23,13,113,113,114,115,31,14,6,6,14,18,11,112,37,9,12,29,4,20,6,30,23,3,27,17,19,115,4,28,30,48,8,44,25,9,37,48,20,5,32,22,73,15,29,24,15,7,8,16,17,33,5,9,18,12,19,114,26,23,54,61,35,31,8,7,12,8,40,15,22,14,26,10,4,5,17,20,9,3,15,15,23,21,32,115,4,18,8,53,
21,110,11,12,36,36,6,24,39,23,8,109,109,0,8,30,15,18,10,4,20,20,110,4,23,5,112,110,110,110,7,17,66,47,10,21,6,111,12,14,43,9,59,16,39,8,18,43,20,13,9,108,35,8,9,2,27,9,5,24,9,7,4,7,8,22,8,20,11,21,8,33,37,7,16,17,36,31,15,17,21,112,3,7,70,8,18,5,15,27,13,13,26,10,27,17,21,17,20,18,25,14,38,56,19,25,6,17,10,108,61,18,17,8,
